Account,ChkRef,Debit,Credit,Date,Description
101124935,,,870.00,3/26/2026,Deposit
101124935,,,20.00,3/26/2026,110798682 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 3/26/26 at 12:56
101124935,,,12.49,3/26/2026,"DoorDash, Inc. S Broadway ST-T8W9H6C0J1P8"
101124935,,30.00,,3/25/2026,"CHK# 00 AMT $1,239.00, NSF CHARGE"
101124935,,,16.59,3/25/2026,"DoorDash, Inc. S Broadway ST-F8Z5B3T3V8V7"
101124935,,1239.00,,3/25/2026,IRS USATAXPYMT 221648492083525
101124935,,100.00,,3/24/2026,114957390 Transfer to CHECKING XXXXXX8098 on 3/24/26 at 13:03
101124935,,,1010.00,3/24/2026,Deposit
101124935,,1576.15,,3/24/2026,Dawn Food Produc 5177894404 XXXXX0675
101124935,,,109.04,3/24/2026,"DoorDash, Inc. S Broadway ST-K0I1S5G9C5N6"
101124935,,,2000.00,3/23/2026,Square Inc SQ260323 T3FP1ZFWRK102C5
101124935,,,34.23,3/23/2026,"DoorDash, Inc. S Broadway ST-V0B6N9E3F6Z5"
101124935,,1133.57,,3/23/2026,Square Inc SQ CAP5322 T3P9EQZTECCK706
101124935,,30.00,,3/20/2026,"CHK# 545 AMT $408.00, NSF CHARGE"
101124935,,,800.00,3/20/2026,Deposit
101124935,,,800.00,3/20/2026,Square Inc SQ260320 T3QTB88M09VFXRY
101124935,,,700.00,3/20/2026,Deposit
101124935,,,8.54,3/20/2026,"DOORDASH, INC. S BROADWAY ST-O0U1N6V9Y2U0"
101124935,,,800.00,3/19/2026,Square Inc SQ260319 T3NJ52WKVFKFS37
101124935,,30.00,,3/19/2026,"CHK# 00 AMT $443.19, NSF CHARGE"
101124935,,443.19,,3/19/2026,SANTANDER RETRY PYMT XXXXX2802
101124935,510,263.28,,3/19/2026,Check #510
101124935,,30.00,,3/19/2026,"CHK# 510 AMT $263.28, NSF CHARGE"
101124935,,0.73,,3/19/2026,OVERDRAFT CHARGE
101124935,,,211.77,3/19/2026,"DOORDASH, INC. S BROADWAY ST-T2I7R3Z3E4E8"
101124935,,30.00,,3/18/2026,"CHK# 00 AMT $697.04, NSF CHARGE"
101124935,,30.00,,3/18/2026,"CHK# 00 AMT $2,000.00, NSF CHARGE"
101124935,,,99.76,3/18/2026,"DOORDASH, INC. S BROADWAY ST-P3P7B8K5X1F2"
101124935,,2000.00,,3/18/2026,Drake Management WEB PMTS XQG3JF
101124935,,697.04,,3/18/2026,ALLSTATE INS CO PREMIUM BAXXXXXX6101
101124935,,2.49,,3/18/2026,"AppFolio, Inc. F WEB PMTS JD7CZ5"
101124935,,,80.21,3/17/2026,"DoorDash, Inc. S Broadway ST-Y2F2D8R8L1L3"
101124935,,30.00,,3/17/2026,"CHK# 00 AMT $443.19, NSF CHARGE"
101124935,,,27.75,3/16/2026,"DoorDash, Inc. S Broadway ST-T4O9A8S8G7S4"
101124935,,607.38,,3/16/2026,TXU ENERGY TXUE_ACH 100076712201
101124935,,300.00,,3/16/2026,112024526 Transfer to CHECKING XXXXXX8098 on 3/16/26 at 20:18
101124935,544,768.02,,3/16/2026,Check #544
101124935,,,2700.00,3/16/2026,Square Inc SQ260316 T3HG008BNX7VMGK
101124935,,500.00,,3/16/2026,112865984 Transfer to CHECKING XXXXXX8098 on 3/16/26 at 5:29
101124935,,3500.00,,3/16/2026,118847864 Transfer to LOAN XXXXXX4969 on 3/16/26 at 9:31
101124935,,30.00,,3/16/2026,CAPITAL ONE CRCARDPMT CA0C45A1F786511
101124935,,,55.96,3/13/2026,"DoorDash, Inc. S Broadway ST-N5I5F7A6W2R9"
101124935,,,1000.00,3/13/2026,Square Inc SQ260313 T37SBG5K2TYT3YR
101124935,,,79.02,3/12/2026,"DoorDash, Inc. S Broadway ST-L7V3A6O9M1Z9"
101124935,,,1000.00,3/12/2026,Square Inc SQ260312 T3VJ744NE3F3QK3
101124935,,,1000.00,3/11/2026,Square Inc SQ260311 T3JSD336K9DN1XC
101124935,,,39.97,3/11/2026,"DOORDASH, INC. S BROADWAY ST-E3W5S7P2B4N8"
101124935,,510.00,,3/11/2026,110624666 Transfer to CHECKING XXXXXX8098 on 3/11/26 at 17:53
101124935,,,71.80,3/10/2026,"DoorDash, Inc. S Broadway ST-K3B4Q6N2P0I7"
101124935,,1673.49,,3/10/2026,Dawn Food Produc 5177894404 XXXXX0778
101124935,,,2000.00,3/10/2026,Square Inc SQ260310 T3GBPPVJ30V8D3J
101124935,,,13.27,3/9/2026,"DoorDash, Inc. S Broadway ST-K2V2B1H1H0K2"
101124935,542,61.41,,3/9/2026,Check #542
101124935,,,294.15,3/9/2026,XX8401 CREDIT 03/09 15:41 SQ  ID - ZiQcHiF San Francisco CA e15b0a1c 135782
101124935,,66.00,,3/6/2026,CAPITAL ONE CRCARDPMT CA063481D6F9F9B
101124935,,30.00,,3/6/2026,"CHK# 00 AMT $1,751.95, NSF CHARGE"
101124935,,,1000.00,3/6/2026,Square Inc SQ260306 T37TMASVRMMVC9R
101124935,538,1717.19,,3/6/2026,Check #538
101124935,,1751.95,,3/6/2026,Metro 101 RENT 259980580
101124935,,,51.83,3/6/2026,"DoorDash, Inc. S Broadway ST-O2S8G2D3Y4O7"
101124935,541,212.63,,3/5/2026,Check #541
101124935,,,25.92,3/5/2026,"DoorDash, Inc. S Broadway ST-F4Y1V2Z2F6F7"
101124935,,,500.00,3/4/2026,Square Inc SQ260304 T3TJYC6MHPYG06G
101124935,,,57.81,3/3/2026,"DoorDash, Inc. S Broadway ST-C5O8S5S7R1S0"
101124935,,,500.00,3/3/2026,Square Inc SQ260303 T3BDHQZDX5C0T25
101124935,,159.00,,3/2/2026,ALLY CC MOBILE PAY 260580495663784
101124935,537,505.00,,3/2/2026,Check #537
101124935,,,2000.00,3/2/2026,Square Inc SQ260302 T3Y7B112BM41AFX
101124935,,123.00,,3/2/2026,CAPITAL ONE CRCARDPMT CA0DA8428A99140
101124935,,,63.20,3/2/2026,"DoorDash, Inc. S Broadway ST-E3F0C4Y6C2H7"
101124935,,,10.39,2/27/2026,GRUBHUB INC Feb Actvty 26022725fFiUCQa
101124935,,,78.65,2/27/2026,"DoorDash, Inc. S Broadway ST-Y3Q8V0V1H8C7"
101124935,,,170.00,2/26/2026,Deposit
101124935,,,100.00,2/26/2026,Deposit
101124935,,,25.19,2/26/2026,"DoorDash, Inc. S Broadway ST-J5W0O4U2H8B3"
101124935,,,600.00,2/26/2026,Deposit
101124935,,30.00,,2/25/2026,"CHK# 00 AMT $1,239.00, NSF CHARGE"
101124935,,,44.75,2/25/2026,"DoorDash, Inc. S Broadway ST-U7R0S5O3E0R0"
101124935,,,100.00,2/25/2026,Deposit
101124935,,,1000.00,2/25/2026,Square Inc SQ260225 T3YBXA5JFRB6P2J
101124935,,1239.00,,2/25/2026,IRS USATAXPYMT 221645610414402
101124935,,,600.00,2/25/2026,Deposit
101124935,,1956.08,,2/25/2026,Drake Management WEB PMTS 0JHLCF
101124935,,2.49,,2/25/2026,"AppFolio, Inc. F WEB PMTS 1K92X5"
101124935,,,63.76,2/24/2026,"DoorDash, Inc. S Broadway ST-U0W2U6H8H3M3"
101124935,,,177.68,2/23/2026,"DoorDash, Inc. S Broadway ST-C0U6V7R9K1Y1"
101124935,,,1300.00,2/23/2026,Square Inc SQ260223 T34A31QHZ68EWPV
101124935,,,1000.00,2/23/2026,Deposit
101124935,,957.11,,2/23/2026,Square Inc SQ CAP5590 T37S799CBAAA7WT
101124935,,0.46,,2/20/2026,OVERDRAFT CHARGE
101124935,,,5.48,2/20/2026,GRUBHUB INC Feb Actvty 26022018fFiUCQa
101124935,,,800.00,2/20/2026,Deposit
101124935,,,17.39,2/20/2026,"DoorDash, Inc. S Broadway ST-C7G0D1L8I1F2"
101124935,,2.49,,2/19/2026,"AppFolio, Inc. F WEB PMTS F2KWW5"
101124935,535,408.00,,2/19/2026,Check #535
101124935,,,111.65,2/19/2026,"DoorDash, Inc. S Broadway ST-T1M6Q1Z1A8P7"
101124935,,,1110.00,2/19/2026,Deposit
101124935,,,40.00,2/19/2026,Deposit
101124935,,30.00,,2/19/2026,"CHK# 00 AMT $2,000.00, NSF CHARGE"
101124935,,2000.00,,2/19/2026,Drake Management WEB PMTS TZT5CF
101124935,,15.00,,2/18/2026,115189189 Transfer to CHECKING XXXXXX8098 on 2/18/26 at 13:16
101124935,,30.00,,2/18/2026,"CHK# 00 AMT $861.44, NSF CHARGE"
101124935,,861.44,,2/18/2026,ALLSTATE INS CO PREMIUM BAXXXXXX6101
101124935,536,565.75,,2/18/2026,Check #536
101124935,,,23.46,2/18/2026,"DoorDash, Inc. S Broadway ST-A2A1Z1K2N4D2"
101124935,,,491.25,2/18/2026,XX8401 CREDIT 02/18 19:16 SQ  ID - 1lCCNgi San Francisco CA e15b0a1c 505966
101124935,,,700.00,2/18/2026,Square Inc SQ260218 T3JTSY06314KT2X
101124935,,500.00,,2/17/2026,113115117 Transfer to CHECKING XXXXXX8098 on 2/17/26 at 5:23
101124935,,3500.00,,2/17/2026,110967675 Transfer to LOAN XXXXXX4969 on 2/17/26 at 7:38
101124935,,,3200.00,2/17/2026,Square Inc SQ260216 T3KWC9PGPNF7ZVJ
101124935,,443.19,,2/17/2026,SANTANDER BILLPAY XXXXX8735
101124935,,,28.87,2/17/2026,"DoorDash, Inc. S Broadway ST-M1T4A2A2T2A3"
101124935,,33.00,,2/17/2026,CAPITAL ONE CRCARDPMT CA0C69FEA6D7DBE
101124935,,30.00,,2/17/2026,"CHK# 00 AMT $443.19, NSF CHARGE"
101124935,,,21.49,2/13/2026,GRUBHUB INC Feb Actvty 26021311fFiUCQa
101124935,,,55.34,2/13/2026,"DOORDASH, INC. S BROADWAY ST-U7R9B0B0L7B4"
101124935,533,1903.82,,2/13/2026,Check #533
101124935,,,700.00,2/12/2026,Square Inc SQ260212 T3TRXCQ6NPV1GWW
101124935,,,22.98,2/12/2026,"DoorDash, Inc. S Broadway ST-C9X8B7D6V6D5"
101124935,534,850.00,,2/12/2026,Check #534
101124935,,1375.61,,2/11/2026,Dawn Food Produc 5177894404 XXXXX9989
101124935,,,82.52,2/11/2026,"DoorDash, Inc. S Broadway ST-B3R9T2H8F7H6"
101124935,,,300.00,2/11/2026,Square Inc SQ260211 T3C5AHEJPPVQ4JH
101124935,,,33.53,2/10/2026,"DoorDash, Inc. S Broadway ST-D7B0B5O1X1T8"
101124935,,1826.95,,2/9/2026,Metro 101 RENT 257985257
101124935,532,543.26,,2/9/2026,Check #532
101124935,,,2000.00,2/9/2026,Square Inc SQ260209 T3H7MDEBD52W2KA
101124935,,,7.22,2/9/2026,"DoorDash, Inc. S Broadway ST-Q3K7L8G4P3V1"
101124935,,,700.00,2/9/2026,Square Inc SQ260207 T3H71W2HZZM84CD
101124935,,,54.04,2/6/2026,"DOORDASH, INC. S BROADWAY ST-C9K3S5S3G5L8"
101124935,,69.00,,2/6/2026,CAPITAL ONE CRCARDPMT CA03CBD3133639D
101124935,,,250.00,2/6/2026,Square Inc SQ260206 T3K6Y9Q17MNA0GX
101124935,,,750.00,2/5/2026,Square Inc SQ260205 T3KWB0C4Z5W11W0
101124935,,,66.70,2/5/2026,"DoorDash, Inc. S Broadway ST-K9A1C1G1I3R7"
101124935,,,500.00,2/4/2026,Square Inc SQ260204 T321V5S9K8CEZ1D
101124935,,,20.25,2/4/2026,"DOORDASH, INC. S BROADWAY ST-F1Z5D1H0H6Z6"
101124935,530,2224.89,,2/4/2026,Check #530
101124935,,,62.81,2/3/2026,"DoorDash, Inc. S Broadway ST-C1C0M8B8D0C2"
101124935,,,800.00,2/3/2026,Square Inc SQ260203 T36JX705GYDHTX6
101124935,,,1500.00,2/2/2026,Square Inc SQ260202 T3V770RE12SNENV
101124935,,134.00,,2/2/2026,CAPITAL ONE CRCARDPMT CA079872D00CFE3
101124935,,200.00,,2/2/2026,CAPITAL ONE MOBILE PMT CA0C21269002292
101124935,,300.00,,2/2/2026,CAPITAL ONE MOBILE PMT CA05BA3236B5E8E
101124935,,,18.33,1/30/2026,GRUBHUB INC Jan Actvty 26013028fFiUCQa
101124935,,,800.00,1/30/2026,Square Inc SQ260130 T3FTTQTX4FN06QS
101124935,,100.00,,1/29/2026,110985443 Transfer to CHECKING XXXXXX8098 on 1/29/26 at 19:12
101124935,,,1200.00,1/29/2026,Square Inc SQ260129 T3R1Z7V0Y0AP571
101124935,,161.00,,1/28/2026,ALLY CC MOBILE PAY 260270490943645
101124935,,,53.62,1/28/2026,"DOORDASH, INC. S BROADWAY ST-Y6K5N0B0B4U2"
101124935,,,36.21,1/27/2026,"DoorDash, Inc. S Broadway ST-F7G9C1R7M3X3"
101124935,,1239.00,,1/26/2026,IRS USATAXPYMT 221642655477561
101124935,,,900.00,1/26/2026,Deposit
101124935,,1956.08,,1/26/2026,Drake Management WEB PMTS CDQG6F
101124935,,2.49,,1/26/2026,"AppFolio, Inc. F WEB PMTS YL2JT5"
101124935,,,4.62,1/26/2026,"DoorDash, Inc. S Broadway ST-M5W1H3T6Y8D9"
101124935,,,1500.00,1/26/2026,Square Inc SQ260126 T3DG7ZRC2KYR58T
101124935,,675.16,,1/23/2026,Square Inc SQ CAP4799 T3AT9905ZD1F3SR
101124935,,,30.25,1/23/2026,GRUBHUB INC Jan Actvty 26012321fFiUCQa
101124935,,,184.00,1/23/2026,"DoorDash, Inc. S Broadway ST-U2B3Y1E5A4R9"
101124935,,30.00,,1/23/2026,"CHK# 530 AMT $2,224.89, NSF CHARGE"
101124935,,,800.00,1/22/2026,Square Inc SQ260122 T31399A0GRZ77HP
101124935,531,288.36,,1/22/2026,Check #531
101124935,,,143.90,1/22/2026,"DoorDash, Inc. S Broadway ST-A2Y1P1V1I9E8"
101124935,,,71.22,1/21/2026,"DoorDash, Inc. S Broadway ST-N8H6A6P9A2F4"
101124935,,2.49,,1/20/2026,"AppFolio, Inc. F WEB PMTS YWMBT5"
101124935,,457.39,,1/20/2026,ALLSTATE INS CO PREMIUM BAXXXXXX6101
101124935,,443.19,,1/20/2026,SANTANDER BILLPAY XXXXX3002
101124935,,500.00,,1/20/2026,CAPITAL ONE AUTO CARPAY CP0C921B60E7364
101124935,,,300.00,1/20/2026,Square Inc SQ260120 T3P2306Y88KJT8Z
101124935,,2000.00,,1/20/2026,Drake Management WEB PMTS 15936F
101124935,,190.69,,1/20/2026,WEBFILE TAX PYMT DD 902/81575176
101124935,,,3500.00,1/20/2026,Square Inc SQ260120 T3CWXFKEFDPJZ3A
101124935,,,91.02,1/20/2026,"DoorDash, Inc. S Broadway ST-W4K3E6M5I2Y2"
101124935,,,800.00,1/16/2026,Square Inc SQ260116 T3FF3SN3J3P1XZ4
101124935,,,47.12,1/16/2026,GRUBHUB INC Jan Actvty 26011614fFiUCQa
101124935,,,78.22,1/16/2026,"DoorDash, Inc. S Broadway ST-C3X6N1O7T2K1"
101124935,,629.32,,1/15/2026,TXU ENERGY TXUE_ACH 100076712201
101124935,,30.00,,1/15/2026,"CHK# 00 AMT $629.32, NSF CHARGE"
101124935,,,15.80,1/15/2026,"DoorDash, Inc. S Broadway ST-L1K1E0K6V3S1"
101124935,,,500.00,1/15/2026,Square Inc SQ260115 T30ZWWZCWQRD53Z
101124935,,,67.42,1/14/2026,"DoorDash, Inc. S Broadway ST-R9O0V6U5E0B5"
101124935,,1576.53,,1/13/2026,Dawn Food Produc 5177894404 XXXXX2777
101124935,,,970.22,1/13/2026,Payments Too Good To Go Too Good To Go B-pegwsyymtg1f1
101124935,,,500.00,1/13/2026,Square Inc SQ260113 T3JZQMAZZKRZ2FN
101124935,,34.00,,1/13/2026,CAPITAL ONE CRCARDPMT CA0F961425C52A3
101124935,,,393.00,1/13/2026,XX8401 CREDIT 01/13 22:56 SQ  ID - aAaXrGW San Francisco CA e15b0a1c 634080
101124935,,3500.00,,1/13/2026,111642838 Transfer to LOAN XXXXXX4969 on 1/13/26 at 16:57
101124935,,,43.81,1/13/2026,"DoorDash, Inc. S Broadway ST-G3A6G7O7Y0Q0"
101124935,,,2500.00,1/12/2026,Square Inc SQ260112 T3H4M1MNMCP2X8B
101124935,,400.00,,1/12/2026,116311474 Transfer to CHECKING XXXXXX8098 on 1/12/26 at 4:05
101124935,,,58.51,1/9/2026,"DoorDash, Inc. S Broadway ST-L1I7B7A4V0L6"
101124935,,,28.72,1/9/2026,GRUBHUB INC Jan Actvty 26010907fFiUCQa
101124935,,,0.79,1/8/2026,"DoorDash, Inc. S Broadway ST-X3E2Q5V1B3V1"
101124935,,,27.61,1/7/2026,"DoorDash, Inc. S Broadway ST-A5S4C2C9N4J7"
101124935,,,134.68,1/6/2026,"DoorDash, Inc. S Broadway ST-Q4Z0S6T1K7G0"
101124935,,1751.95,,1/6/2026,Metro 101 RENT 255706290
101124935,,,700.00,1/6/2026,Square Inc SQ260106 T33BPSJT5VFBR6D
101124935,,,1000.00,1/5/2026,Square Inc SQ260105 T3NR0EP3NXJN05V
101124935,,68.00,,1/5/2026,CAPITAL ONE CRCARDPMT CA0A56629A954E1
101124935,,,24.02,1/5/2026,"DoorDash, Inc. S Broadway ST-S8J8W4F4S7K9"
101124935,,100.00,,1/5/2026,114181514 Transfer to CHECKING XXXXXX8098 on 1/05/26 at 4:29
101124935,,,88.64,1/2/2026,"DoorDash, Inc. S Broadway ST-C1G1J3W2J7W5"
101124935,,33.68,,1/2/2026,BCBS HEALTH BILL PAY 10182400341
101124935,,,1000.00,1/2/2026,Square Inc SQ260102 T35RZQJD9GP0ESZ
101124935,,134.00,,1/2/2026,CAPITAL ONE CRCARDPMT CA082322E2180D2
101124935,,,73.52,1/2/2026,"DoorDash, Inc. S Broadway ST-Q4E5M6P5G2W7"
101124935,,,18.02,1/2/2026,GRUBHUB INC Dec Actvty 26010231fFiUCQa
101124935,,,1000.00,12/31/2025,Square Inc SQ251231 T3AVR1PF6MA1MCV
101124935,,,84.22,12/31/2025,"DoorDash, Inc. S Broadway ST-V6Q6T4B6Y9R0"
101124935,528,1072.78,,12/31/2025,Check #528
101124935,,,249.32,12/30/2025,"DoorDash, Inc. S Broadway ST-Y0Y5Y2I3D0M7"
101124935,,,50.00,12/30/2025,112000167 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 12/30/25 at 16:21
101124935,,159.00,,12/30/2025,ALLY CC MOBILE PAY 253610486137803
101124935,,1442.65,,12/30/2025,Dawn Food Produc 5177894404 XXXXX7159
101124935,,,1500.00,12/29/2025,Square Inc SQ251229 T37KDZ7DSPVJ98R
101124935,,550.00,,12/29/2025,Check
101124935,,,9.76,12/29/2025,"DoorDash, Inc. S Broadway ST-I4F0P9X4B4W4"
101124935,,,64.26,12/26/2025,"DoorDash, Inc. S Broadway ST-N4Y2I7U7W0I5"
101124935,,1239.00,,12/26/2025,IRS USATAXPYMT 221576011414941
101124935,,,80.74,12/26/2025,"DoorDash, Inc. S Broadway ST-J5X7J7P9E0P8"
101124935,,,2000.00,12/26/2025,Square Inc SQ251226 T3S6MZR65DHHBR9
101124935,,,13.03,12/26/2025,GRUBHUB INC Dec Actvty 25122624fFiUCQa
101124935,,,600.00,12/24/2025,Square Inc SQ251224 T3Q6EET1R3SKBCQ
101124935,526,1777.70,,12/24/2025,Check #526
101124935,,,64.55,12/24/2025,"DoorDash, Inc. S Broadway ST-X4X1R5M8Y9Z3"
101124935,,30.00,,12/24/2025,"CHK# 526 AMT $1,777.70, NSF CHARGE"
101124935,527,357.00,,12/23/2025,Check #527
101124935,,,120.57,12/23/2025,"DoorDash, Inc. S Broadway ST-O1P9W7I6L8Q2"
101124935,,344.48,,12/23/2025,Square Inc SQ CAP5868 T32RXAVRKYJQWG0
101124935,,1956.08,,12/22/2025,Drake Management WEB PMTS Y5J41F
101124935,,,3000.00,12/22/2025,Square Inc SQ251222 T3C9R54BT2F0JV6
101124935,,2.49,,12/22/2025,"AppFolio, Inc. F WEB PMTS 7FJTQ5"
101124935,,,103.42,12/19/2025,"DoorDash, Inc. S Broadway ST-Y1K1R7T4B7L6"
101124935,,,750.00,12/18/2025,113443580 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 12/18/25 at 13:57
101124935,,,132.73,12/18/2025,"DoorDash, Inc. S Broadway ST-P1T5I6V9F7L4"
101124935,,457.39,,12/18/2025,ALLSTATE INS CO PREMIUM BAXXXXXX6101
101124935,,30.00,,12/17/2025,"CHK# 00 AMT $443.19, NSF CHARGE"
101124935,,443.19,,12/17/2025,SANTANDER BILLPAY XXXXX6501
101124935,,1713.67,,12/17/2025,Dawn Food Produc 5177894404 XXXXX2003
101124935,,,1000.00,12/17/2025,Deposit
101124935,,,16.61,12/17/2025,"DOORDASH, INC. S BROADWAY ST-D0E0V4Q0C9D4"
101124935,,2000.00,,12/16/2025,Drake Management WEB PMTS 2BGV0F
101124935,,625.69,,12/16/2025,IRS USATAXPYMT 240575082085533
101124935,,2.49,,12/16/2025,"AppFolio, Inc. F WEB PMTS Y6MPQ5"
101124935,,,62.62,12/16/2025,"DOORDASH, INC. S BROADWAY ST-T3X0T7Z7Z9L8"
101124935,,,3000.00,12/15/2025,Square Inc SQ251215 T3RAN047GZ8K0ZR
101124935,,,11.71,12/15/2025,"DoorDash, Inc. S Broadway ST-B3S9O5T4B0Q8"
101124935,,,500.00,12/12/2025,Square Inc SQ251212 T32TG3JCE6YP3P8
101124935,,300.00,,12/12/2025,111798932 Transfer to CHECKING XXXXXX8098 on 12/12/25 at 16:40
101124935,,,51.55,12/12/2025,"DoorDash, Inc. S Broadway ST-D3R0V8M9E3U1"
101124935,,,16.56,12/12/2025,GRUBHUB INC Dec Actvty 25121210fFiUCQa
101124935,,,64.03,12/11/2025,"DoorDash, Inc. S Broadway ST-G7E8W1Y4X3N9"
101124935,,,202.00,12/10/2025,112692904 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 12/10/25 at 15:51
101124935,,91.93,,12/10/2025,BCBS HEALTH BILL PAY 14481077101
101124935,,,500.00,12/10/2025,Square Inc SQ251210 T3B094309CV0G9K
101124935,,100.00,,12/10/2025,110131556 Transfer to CHECKING XXXXXX8098 on 12/10/25 at 18:07
101124935,,3500.00,,12/10/2025,112638971 Transfer to LOAN XXXXXX4969 on 12/10/25 at 15:56
101124935,,,402.82,12/10/2025,XX1008 CREDIT 12/10 21:56 SQ *ID - hY11M2g San Francisco CA e15b0a1c 204876
101124935,,,43.28,12/10/2025,"DOORDASH, INC. S BROADWAY ST-H7O7H9Z1X1T1"
101124935,508,771.57,,12/9/2025,Check #508
101124935,,,82.19,12/9/2025,"DoorDash, Inc. S Broadway ST-L2W5Z7N7N0Z3"
101124935,,,500.00,12/9/2025,Square Inc SQ251209 T32RZ8MPV0AFMXE
101124935,,,4000.00,12/8/2025,Square Inc SQ251208 T33098WQ5BC1DD6
101124935,,1751.95,,12/8/2025,Metro 101 RENT 253834616
101124935,,,13.97,12/5/2025,"DoorDash, Inc. S Broadway ST-I4C5W8Z0I8O3"
101124935,,,400.00,12/4/2025,Square Inc SQ251204 T3JHDXPSPX54SG5
101124935,,,68.88,12/4/2025,"DoorDash, Inc. S Broadway ST-S4E8B7P4R1Y2"
101124935,,1608.57,,12/3/2025,Dawn Food Produc 5177894404 XXXXX2691
101124935,,,160.00,12/3/2025,114877987 Transfer from AUSTIN STAR CHK PL XXXXXX8098 on 12/03/25 at 13:27
101124935,,,300.00,12/3/2025,Square Inc SQ251203 T3C75008WSP6QY5
101124935,,,61.97,12/3/2025,"DoorDash, Inc. S Broadway ST-O1R5L9E0N1W2"
101124935,,,1300.00,12/2/2025,Square Inc SQ251202 T3889TKZGTKXN7Q
101124935,,500.00,,12/2/2025,114119503 Transfer to CHECKING XXXXXX8098 on 12/02/25 at 4:03
101124935,507,1680.85,,12/2/2025,Check #507
101124935,,,46.35,12/2/2025,"DoorDash, Inc. S Broadway ST-O7X7K7L2U2C4"
101124935,,31.00,,12/1/2025,CAPITAL ONE CRCARDPMT CA0EEC85B21D986
